start	end	text
144240	146540	그 다음은 감도가 더 높은 에이피클입니다.
146560	148240	엑스프로게이머 알브렐리라는 선수예요.
148740	152360	감각적인 에임이 아주 좋고 여러 가지 방식의 에임을 시도해보는 선수인데요.
152760	154180	딱 봐도 감도가 좀 높아 보이죠.
154920	159260	보시면 손목이나 팔이 고정되어 있지 않고 하나의 동작이 나오죠.
160380	164420	지금까지 다양한 게임, 다양한 감도, 그립 세팅 다 다른 프로게이머들을 봤는데
164420	165700	공통점이 보이죠.
166460	170080	손목과 팔이 고정되어 있지 않고 손부터 팔까지 하나의 움직임이 나온다.
170580	173540	손목만, 팔만 쓰는 부분들을 찾으면 나올 수는 있는데
173540	176160	일단 기본적으로는 이런 움직임이 나온다는 거고요.
176560	179340	생각보다 프로들이 에임하는 방식이 천편일률적이죠.
179920	181060	크게 보면 거기서 거긴데
181060	183680	이런 움직임이 나올 수밖에 없는 이유와
183680	186460	어떻게 해야 이렇게 움직일 수 있는지에 대해 설명드릴 거예요.
187160	189880	우선 에임을 하는 기준을 확실하게 잡고 넘어가는 게 좋은데
189880	192720	어디를 기준으로 에임하시나요? 라고 질문을 드리면
192720	196140	손가락, 손목, 팔, 다양한 대답이 나오거든요.
196840	201300	에임이란 건 패드 위에서 마우스 센서가 움직이는 걸 인식해서 나오는 결과물이에요.
201820	202780	기준은 센서입니다.
203420	204780	얘가 움직이는 대로 에임이 나오죠.
204780	205780	비유를 하자면 우리가 펜으로 글씨를...
206560	209460	글씨를 쓸 때 펜촉에 가까운 부분을 잡고 이렇게 쓰죠.
209960	211340	이게 가장 컨트롤하기 편하니까.
212160	215640	근데 펜의 중간쯤을 잡아서 쓴다고 생각해보면 좀 불편하겠죠?
216340	220440	펜촉과 먼 곳에서 얘를 디테일하게 움직이기 위해서는 더 큰 힘을 필요로 할 거고요.
221320	223420	더 멀리 잡으면 더 힘들겠죠?
224100	225620	이 아랫부분을 잡고 쓰는 게 뭐냐면
225620	227880	센서를 기준으로 움직이는 거예요.
228360	231380	중간을 잡고 움직이는 건 손목으로 컨트롤하는 거예요.
232640	234140	센서는 여기 있고 손목은 여기잖아요.
234760	235560	이만큼 거리가 있죠?
235760	235780	이렇게 해서는 펜을 잡고 쓰는 거예요.
235780	235840	이렇게 해서는 펜을 잡고 쓰는 거예요.
235840	235860	이렇게 해서는 펜을 잡고 쓰는 거예요.
235860	240740	여기서 얘를 세밀하게 컨트롤하려면 그만큼 손목에 힘이 더 들어가고 좀 어렵겠죠?
241220	243520	더 멀리 잡아서 쓰는 건 팔로 힘하는 거예요.
243980	246540	센서는 여기 있는데 팔로 힘하는 게 생각해보면 좀 이상하죠?
247000	248240	여기서 얘를? 그렇죠?
248700	251380	움직이는 기준을 센서에서 먼 곳으로 둘수록
251380	255440	세밀한 컨트롤에 어려움을 느끼거나 힘이 더 들어갈 수밖에 없다라는 거고요.
255740	259220	이런 이유로 팔에 힘을 한다는 분들이 감도를 점점 내리는 경우가 있는데
259220	261840	근본적인 해결책이 아니다 라고 얘기할 수 있겠죠.
262460	265220	센서부터 움직인다라는 게 뭔지 감이 잘 안 올 수 있는데
265220	265260	직관적으로는 펜촉을 잡고 쓰는 게 좀 어려울 것 같아요.
265260	267020	직관적으로 생각해보면 편해요.
267560	269260	센서 위치에 크레파스를 하나 꽂았다고 쳐요.
269520	270660	그리고 Z자를 쓰는 거예요.
271820	273100	그럼 어딜 기준으로 방향을 바꿔요?
273920	275360	크레파스 꽂은데. 그렇죠?
275880	278120	손목이 쓰이든 팔이 쓰이든 쭉 따라가다가도
278120	282120	적이 움직였을 때 1차적으로 가장 먼저 반응해야 될 곳은 센서예요.
283120	287460	팔로 큰 힘, 세밀한 힘은 손목으로 이런 식으로 동작을 따로 쓰는 경우도 많은데
287460	288680	이건 뭐냐면
288680	291520	펜을 멀리 잡으면 선을 길게 빼는 데는 더 편하겠죠?
291840	294820	쭉 긋다가 글씨를 써야 되니까 다시 여길 잡아서 쓰는 거예요.
295260	296620	딜레이가 걸릴 수밖에 없겠죠?
297440	300140	처음부터 여기 잡은 상태로 쭉 가다가 글씨를 쓰면 되잖아요. 그렇죠?
300960	302980	애초에 기준은 센서에서 변하지 않는다는 거예요.
303220	306820	가다가도 바로 언제든지 센서에서 바로바로 반응할 수 있어야 한다.
307460	309400	뭐 타겟 전환이나 화면 전환도 마찬가지고요.
309540	312060	팔로 돌리고 에임하고 이런 식으로 단계별로 가는 게 아니라
312060	313740	한 번에 움직이는 거고요.
314220	317340	다시 말하면 기준을 센서에 실시간으로 두고 있는 게 핵심이다.
317880	321180	손목만, 팔만 썼을 때 한 번의 동작은 빠를지언정
321180	324800	이어지는 동작에서 단계가 나뉘면 방어 속도가 빠를 수가 없다.
325260	328560	전 방어 속도가 너무 느려요라는 분들의 대부분이 여기에 해당됐었고요.
329280	331220	그리고 마우스 센서의 특성 하나를 설명드릴 거예요.
331500	333360	에임을 이 선 위에다가 딱 올려두고
333360	335080	마우스 센서 위치를 딱 잡은 다음에
335080	336780	얘를 여기서 반대로 돌려볼게요.
341640	344340	그러면 에임이 제자리에 있죠.
345460	347300	왜? 센서 위치는 변하지 않았어요.
347760	349380	센서를 기준으로 마우스만 돌린 건데
349380	352080	우리가 평소에 마우스를 이렇게 움직이지는 않잖아요.
352580	353440	보통 이렇게 움직이죠.
354580	355240	그럼 마우스를 왼쪽으로 돌리면
355240	357040	마우스를 왼쪽으로 기울이면 에임이 왼쪽으로 가고
357040	359700	오른쪽으로 기울이면 오른쪽으로 가요.
360060	360940	여기까지는 맞는 말이죠.
361640	363980	근데 마우스를 왼쪽으로 기울이면서 오른쪽으로 옮기면
363980	365400	에임이 오른쪽으로 가요.
366120	368180	마우스의 각도보다 센서의 위치가 더 우선순위다.
368400	368900	라는 얘기고
368900	370640	사실 아까 이렇게 움직일 때
370640	372680	센서의 위치도 같이 이동을 한 거거든요.
373400	375120	여기서 귀나부류가 생기기 쉬운 건데
375120	377600	마우스를 기울이면 에임이 진행한다.
377760	379220	라고 이해하시는 분들이 정말 많아요.
379880	381100	딱히 생각해보지 않았어도
381100	383380	은연 중에 이렇게 받아들이는 경우도 많고요.
383380	384560	이렇게 되면 문제가
384560	387220	기준을 마우스의 아랫부분으로 잡아버리기 쉬워요.
387560	388760	그러면 보통 나도 모르게
388760	390620	손목을 기준으로 방향을 걷게 되거든요.
391240	392880	그렇게 되면 뭔가 내가 원하는 것보다
392880	394640	몇 픽셋을 조금 더 움직인다.
394840	396100	약간 이런 느낌이 들 수 있어요.
396460	397700	그러다 보니까 더 세게 누르고
397700	398840	더 세게 밀어붙이는
398840	401760	이렇게 약간 따라 붙이는 에임을 하는 경우가 많은데
401760	403580	이렇게 하면 뭐 맞을 건 맞는데
403580	405840	약간 안정감이 있다는 느낌은 안 들 거예요.
406380	407580	분명히 많이 맞힌 것 같은데
407580	409420	생각보다 딜이 좀 덜 들어가는
409420	411680	탄이 좀 세거나 하는 기복의 원인 중
411680	412560	하나가 될 수 있다.
412560	414560	그럼 이제 센서를 기준으로 반응하는
414560	416580	걸 굉장히 직관적으로 체험해 볼 건데요.
417160	419080	센서에 크레파스를 딱 꽂혔다고 치고
419080	420560	얘로 여기에 칠하는 그대로
420560	422040	에임이 나온다고 생각해 보는 거예요.
422400	423380	그럼 여기서 살살 칠해보면
423380	425200	손에 힘이 하나도 안 들어갈 거예요.
425820	427020	좌우로 가볍게 움직일 수 있죠.
428540	430380	이런 가벼운 움직임 그대로 에임할 수도 있고요.
431820	433100	이 정도 움직이는 데에는
433100	435260	센서의 각도에 영향이 크지 않고
435260	437040	센서를 기준으로 반응하면
437040	439080	자연스럽게 힘도 훨씬 덜 들어간다.
439380	440740	이런 느낌으로 컨트롤할 수 있다.
440960	442160	정도로 이해하시면 될 것 같고
442160	443900	이번엔 움직임을 비교해 볼게요.
444560	445660	크레파스의 기울기 개념으로
445660	446660	제어하려고 하면 보통
446660	448200	자연스럽게 손목을 기준으로
448200	449340	이런 식의 움직임이 나와요.
449560	450540	손목은 고정돼 있고
450540	451940	여기서 각도를 틀어주죠.
452440	452940	이게 아니라
452940	454220	센서부터 움직이게 되면
454220	456000	이런 식으로 손목이 고정되지 않아요.
456240	457480	크게 움직이는 건 아니지만
457480	459120	그렇다고 고정되진 않죠.
459740	461300	지금부터 되게 당연한 얘기를 할 건데
461300	462740	펜으로 글씨를 쓸 때
462740	464240	얘를 마음대로 움직여야 하잖아요.
464860	466180	그때 펜의 어느 한 부분이
466180	467200	고정될 수가 없겠죠.
467380	468920	얘를 자유롭게 움직이기 위해선.
469420	470100	마찬가지예요.
470400	471460	어딘가 고정되어 있으면
471460	473860	어느 순간 움직임을 방해하게 되겠죠.
474560	476600	관찰력이 좋으신 분들은
476600	478180	프로게이머들의 손캠을 볼 때
478180	480360	이런 약간 손목이 꿈틀대는 듯한
480360	482740	움직임을 본 적이 있을 거예요.
491120	493060	센서부터 반응해서 그렇다라는 얘기고요.
493300	494700	센서에 대해서 조금 더 얘기하자면
494700	496820	직립해 있는 센서를 기준으로
496820	498300	방향이 결정된다고 보시면 돼요.
504560	510240	조준선이 센서 부분에 이렇게 고정되어 있다고
510240	511520	생각해보는 것도 괜찮아요.
512320	513880	근데 프로게이머나 랭커들이
513880	515560	내가 마우스를 어떻게 움직였다
515560	516720	이런 걸 의식하진 않아요.
517700	519320	화면 속 에임과 센서의 동선이
519320	521060	깔끔하게 딱 맞아떨어지는 것도 아니고요.
521680	523180	센서를 기준으로 컨트롤해 나가는
523180	525660	감을 익히는 게 중요하다고 보시면 될 것 같습니다.
526360	527760	근데 이런 질문 하신 분들이 되게 많아요.
527920	529140	에임이 점점 올라가요.
529840	531360	에임이 어느 순간부터 점점 내려가요.
531980	533560	에임이 수평으로 안 움직여져요.
533800	534400	내가 센서를 그렇게 움직이는 건가요?
534400	534520	내가 센서를 그렇게 움직이는 건가요?
534520	534540	내가 센서를 그렇게 움직이는 건가요?
534560	535380	내가 센서를 그렇게 움직이는 건가요?
535680	538240	이런 질문을 한다는 건 마우스 센서가 아니라
538240	539980	내 몸을 기준으로 에임한다는 얘기예요.
540480	542900	나는 이런 감으로 손목을 돌리고 팔을 돌렸는데
542900	544840	에임이 똑같이 안 움직였다.
544920	545360	이거거든요.
546120	547640	어딘가를 축으로 에임하시는 분들이
547640	549940	일정 부분 그 감이 일치하는 부분이 있다 보니까
549940	551680	이런 오류를 범할 때가 많은데
551680	554340	센서를 기준으로 움직임을 만들어 나가셔야죠.
554700	556220	그런 분들은 에임 연습을 할 게 아니라
556220	558700	센서를 기준으로 움직인다라는 걸 의식하면서
558700	560740	그 감을 먼저 기르시는 게 낫습니다.
560740	562820	에임을 근본부터 잘못 이해하고 있는 거라서
562820	564520	열심히 대답을 해줘도 의미 없는 게
564520	565180	경우가 많아요.
565460	566800	이론이 아니라 감각적인 정보를
566800	568280	더 접할 필요가 있는 분들입니다.
568840	570960	그런데 손목이나 팔 어딘가를 축으로
570960	572360	에임하시는 분들이 굉장히 많죠.
572920	575320	쓸 수는 있는데 기본적으로는 이렇게 움직이면 안 돼요.
575760	577400	어 근데 손목이나 팔을 축으로 에임하면
577400	578300	되게 잘 맞던데요?
578840	580000	아까 얘가 손목이라 그랬죠?
580380	582980	얘를 대충 막 돌려도 일정한 폼을 선이 나와요.
583260	584560	힘을 세게 주든 약하게 주든
584560	586120	축을 기준으로 움직이기 때문에
586120	587860	안정감 있는 동작이 나오겠죠?
588400	590080	뭐 에임으로 수평 라인 맞추기도 쉽고요.
590080	592620	그리고 우리 몸이 완전히 굳어있는 게 아니기 때문에
592620	594480	점프하는 것들도 따라갈 수 있고
594480	596280	뭐 반동도 얻어도 잡을 수 있고요.
596820	598100	손목 돌리는 정도를 조절하면
598100	600620	원하는 거리만큼의 에임을 움직일 수도 있겠죠?
601520	602980	어딘가를 축으로 에임한다는 건
602980	604080	움직임을 제한시키고
604640	607480	특정 범위의 움직임을 안정적으로 만들겠다는 의미예요.
607820	610100	예를 들면 컴퍼스를 활용하는 것과 같다고 보시면 되는데
610100	612000	컴퍼스를 꽂아서 돌리면
612000	614160	대충 막 돌려도 깔끔하게 원이 나오죠?
614600	616080	근데 찌그러진 원을 그려보라 그러면
616080	616920	힘들겠죠?
617380	618060	프로게이머들은
618060	620540	그냥 여기 잡은 상태로 깔끔하게 원을 그리는 거예요.
620880	622580	복잡한 도형을 따라 그려보세요 라고 해도
622580	623980	그냥 보면서 따라 그릴 수 있겠죠?
624480	625800	당연히 이게 더 어려운 거 맞아요.
626380	628180	처음엔 안정감이 없다고 느껴질 거기 때문에
628180	629640	자꾸 축을 만든다든지
629640	631980	움직임을 제한시키는 쪽으로 가는 경우가 많은데
631980	633440	미술에서의 선긋기도
633440	634280	처음엔 어려운데
634280	635880	하다보면 반듯하게 그릴 수 있거든요.
636580	638260	어떤 장치의 도움을 받지 않아도
638260	640480	수달되면 수행 가능한 부분이라고 보시면 되고
640480	643040	어딘가를 축으로 돌리면 편할 수는 있는데
643040	644540	익숙해지면 이런 기준 없이
644540	646740	마우스만 대충 움직여도 수평으로 움직여지거든요.
647320	648800	축을 이용한 에임 방식은 분명
648800	651020	초보자들이 쉽게 접근할 수 있는 방법이 맞고
651020	653360	특정 범위, 동작들에 있어 장점도 있는데
653360	654440	동작을 제한시키는
654480	654740	동작을 제한시키거나
654740	657960	자연스럽게 동작이 이어지는 것을 방해하는 요소로
657960	658900	자리잡기 쉽다.
659600	662040	지금부터는 어떻게 해야 자연스럽게 움직일 수 있는지
662040	663100	에 대한 얘기를 할 건데
663100	666600	손목과 팔의 힘이란 무엇인가에 대해서 먼저 설명할 겁니다.
667280	668820	우선 마우스를 이렇게 치워보시고
668820	669920	손가락 끝으로
669920	671840	패드에다가 직선을 한번 그어볼 거예요.
672240	674320	여기서부터 여기까지 한 번에
674320	676760	어? 포물선이 그어지는데요?
677060	677740	이러면 안되고
677740	679620	직선을 따라 한 번에 그낸 거예요.
681340	682780	아주 반듯하게 그을 필요는 없고
682780	684460	내가 활용하는 범위인 만큼
684460	685760	편하게 옮겨보시면 돼요.
686320	687400	뭐 딱히 불편한 게 없죠.
687800	690020	손끝으로 움직였다라는 느낌일 텐데
690020	692160	이 동작을 눈으로 확인해보면
692160	693700	팔이 크게 움직였죠?
694680	695480	이게 팔의 힘이에요.
696040	697320	팔로 직접 움직여서가 아니라
697320	699260	팔이 많이 움직여서 팔의 힘이다.
699980	701520	그리고 손끝을 이 정도 안에서 움직여보는 거예요.
702040	703140	그럼 손목이 반응을 하죠?
703620	704520	이게 손목의 힘이에요.
704980	706180	손목을 움직였다가 아니라
706180	707960	손목이 움직여졌다에 가까워요.
708560	709420	우리가 글씨 쓸 때
709420	711300	손목이 저절로 같이 움직이잖아요.
711300	712880	같은 원리라고 보시면 돼요.
713460	714300	이제부터 설명드릴 부분이요.
714460	716120	이 부분이 사실 프로게이머와 일반인들의
716120	717560	가장 큰 차이를 내는 부분인데요.
718100	719200	사용하는 부위가 다르거나
719200	721600	근육의 사용 방식이 다른 경우가 대부분입니다.
721920	722800	이걸 이해하기 위해서는
722800	724620	손과 손목이 어떤 구조로 이루어져 있고
724620	726040	어떤 식으로 반응하는지
726040	727160	어느 정도 알 필요가 있어요.
727420	729360	힘줄로는 이 BL, 이 BB가 있는데
729360	730740	이런 식으로 설명하지는 않을 거고요.
731400	732820	다소 추상적인 설명을 드리고
732820	734940	그 후에 해부학적인 설명을 더할 거예요.
735320	737320	감각적으로 느끼기엔 이게 더 와닿을 수 있어서
737320	739080	여러 가지 방식으로 설명해봤는데
739080	741140	이렇게 설명했을 때 가장 쉽게 이해하시더라고요.
741140	743020	우선 손가락부터 팔까지
743020	744140	근육들이 따로따로 독립되어
744460	746480	있는 게 아니라 거의 다 연결되어 있거든요.
747280	748580	엄지손가락에만 힘을 주려고 해도
748580	750480	손바닥 부분까지 같이 힘이 들어갈 거예요.
751140	752680	반대로 여기에다 힘을 줘도
752680	753960	여기까지 같이 들어갈 거고요.
754420	756480	그 다음 약지소지, 4번 손가락에 힘을 줘도
756480	758200	손바닥 여기까지 힘이 같이 들어갈 거예요.
758800	760240	반대로 여기에다 힘을 주려고 해도
760240	761260	여기까지 들어갈 거고요.
761760	763520	검지 중지에 힘을 주면 손목 쪽까지
763520	764920	전체적으로 힘이 들어갈 거예요.
765360	766800	반대로 손목 쪽에 힘을 줘도
766800	767880	여기도 힘이 들어가고요.
768220	769780	전체적으로 살짝 굳는다는 느낌이 들 거예요.
769780	771980	그래서 게임을 하다 보면 나도 모르게
771980	774320	클릭을 굉장히 세게 하는 상태로 유지가 될 때가 있을 거예요.
774620	775780	그때 손가락에 힘을 빼려고 해도
775780	777240	그냥 꽉 쥐고 있는 경우가 있거든요.
777660	779440	이럴 때는 이제 손목까지 힘을 같이 빼줘야
779440	780200	힘이 빠지는 거지
780200	782140	여기만 빼려고 하면 안 빠질 거예요.
782740	784260	이건 그냥 참고하시면 되는 거고
784260	785280	중요한 건 뭐냐면
785280	786500	지금 손을 3등분 했어요.
787020	788860	하나, 둘, 셋.
789420	791560	얘네들은 같이 반항한다고 보시면 돼요.
792280	793500	얘네들은 어차피 많이 쓰여요.
793640	795820	우리가 클릭하고 손목도 많이 쓰이고 하니까요.
795980	797800	중요한 건 얘네들을 같이 써주는 거예요.
797800	800140	프로 게이머들은 얘네들을 항상 같이 써줍니다.
800740	802940	에임할 때 직접적으로 이렇게 밀어주고 당겨주고
802940	804320	이렇게 컨트롤한다는 얘기가 아니라
804320	806800	얘네가 움직일 때 같이 움직여요.
807900	809360	이거를 되게 쉽게 체험해볼 수 있는데
809360	811820	적이 빠르게 좌우무빙을 한다고 치고
811820	815040	손가락 5개 끝으로 프린터기처럼 바로바로 따라간다 생각해보는 거예요.
815500	816540	그럼 바로바로 반항해보면
816540	818260	손에 이미 거의 안 들어가거든요.
818600	820460	근데 이걸 손가락 2개로만 수행하려고 그러면
820460	822180	손목 쪽에 힘이 확 들어갈 거예요.
822540	823420	손이 이만큼 있는데
823420	826300	얘네들은 아무것도 안 하고 얘네가 다 하려고 하면 당연히 좀 힘들겠죠?
826300	828180	이 덩어리 달고 움직여줘야 되니까요.
828480	830020	다 같이 써주는 게 당연히 효율적이겠죠?
830340	831720	그리고 손목에 대한 얘기인데
831720	834100	사실 일반적인 손목과 해부학적인 손목은
834320	834760	2개가 있습니다.
835120	836720	여길 손목이라는 경우가 많은데
836720	838480	사실 여기까지는 팔뼈고요.
839000	840300	손목은 이 위에서 돌아갑니다.
841120	842740	손목 관절 뼈 8개가 여기에 있어요.
842960	843660	인대도 여기 있고요.
844180	846840	손가락 5개 끝을 한 번에 좌우로 가볍게 움직여보세요.
847180	849240	그럼 손목도 자연스럽게 같이 반항할 거예요.
849780	852800	근데 손목 관절을 직접 움직여도 동작이 똑같이 나와요.
852980	853600	그 얘기는 뭐냐면
853600	855760	얘를 직접 움직일 필요가 없다는 얘기예요.
856520	858600	손목 관절이 아니라 이 위쪽을 움직이면
858600	860240	어차피 손목은 같이 돌아가요.
861100	861880	다시 설명하자면
861880	863440	손가락을 움직이는 근육들은
863440	864300	손목 관절이 움직여요.
864320	865260	손가락이 움직임에도 관여를 합니다.
865760	867420	그런데 손을 포함하지 않고
867420	870280	손목 관절만 움직이는 손목 근육이 6개가 있어요.
870580	872600	얘네들만 쓰면 손은 반응을 못해요.
873100	874200	직접 비교를 해보시면 되는데
874200	876060	손목 관절에 직접 힘을 주면
876060	877420	손 전체가 굳어버릴 거예요.
877860	879720	손가락 5개 끝이 마음대로 안 움직이죠.
880440	881720	근데 손가락부터 힘을 주면
881720	883440	손목 쪽에도 어느 정도 힘이 들어가긴 하는데
883440	885820	손가락 5개 끝이 마음대로 컨트롤될 거예요.
886120	888120	손에 힘이 들어갔는데도 생각보다 자유롭게 움직이죠.
888560	890940	그래서 프로게이머들은 손을 포함한 손목을 쓴다.
891620	893020	프로게이머들이 말하는 손목은
893020	894780	보통 이걸 포함한 걸 얘기하는 거예요.
895620	898480	손을 포함한 손목을 자유롭게 쓰는 사람들의 대부분이
898480	900340	하다 보니 깨달음을 얻어서라기보다는
900340	902360	처음부터 당연하게 쓰고 있는 경우가 많아요.
902640	903940	그러다 보니 프로게이머들은 오히려
903940	906180	자연스럽게 쓰지 못하는 걸 이해 못해요.
906560	907420	사실 저도 처음엔
907420	909880	이걸 왜 못하지?라는 의문으로 코칭을 시작했던 건데
909880	911700	소통에 어려움을 겪는 이유가
911700	913740	에임이나 움직임에 대한 설명을 해줘도
913740	915960	서로 다른 걸 떠올리면서 얘기하게 되는 거예요.
916120	917640	손목이라는 같은 단어를 쓰지만
917640	919600	서로 다른 개념으로 이해하고 있을 수 있다.
919940	922000	왜냐하면 이게 나한테 당연한 손목이니까.
922000	923000	손목뿐만 아니라
923000	924300	다른 용어들도 마찬가지고요.
924300	926600	낮은 티어에서는 손 자체를 사용하지 않고
926600	929400	손목이나 팔로만 에임하는 케이스도 많이 봤고요.
929840	931800	티어도 꽤 높고 에임은 괜찮은데 기복이 심하다.
932160	935420	연습과 실전에서의 에임 차이가 크다라는 분들의 대부분이
935420	937520	손과 손목을 따로 사용하는 경향이 있습니다.
937860	940120	세밀한 에임과 큰 에임을 구분지어서 하다 보니까
940120	943060	하나씩은 되는데 0개는 안 되는 거죠.
943420	944940	대부분의 근육들을 활성화시켜서
944940	946300	같이 쓰는 것이 습관이 되면
946300	948100	손 안에서 에임하는 것처럼
948100	950340	내가 실시간으로 에임하고 있다는 느낌이 유지되고요.
950660	951600	손목이 쓰이더라도
951600	952980	가동 범위에 제한을 받지 않으면
952980	954680	어차피 한 동작이기 때문에
954680	955880	자연스럽게 넘어가지고
955880	958220	손목이 딱 가동 범위만큼만 쓰입니다.
958440	960400	그렇게 되면 필요 없는 긴장들도 많이 빠지고
960400	962640	손목이 데미지 입을 일이 딱히 없어지는 거예요.
962880	965420	특정 부위만 혹은 근육들을 따로 쓰게 되면
965420	967220	감도나 그립에 영향을 많이 받아서
967220	968680	거기에 휘둘리기 쉽고요.
969040	971040	근육에 과도한 힘이 들어가는 원인이 됩니다.
971400	973860	에임을 잘 하다가도 갑자기 툭 끊긴다든지
973860	976440	덜덜 떨리는 현상이 나오는 주된 원인이기도 하고요.
976720	978060	자 그럼 이제 체험을 해봐야겠죠.
978660	980460	양 사이드를 같이 쓰는 게 중요하다 했잖아요.
980460	982960	그래서 이 사이에 막대기가 하나 껴있다고 생각하시면
982960	983440	가는 거예요.
983840	984460	뭐 이런 식으로
984460	986500	얘네들은 묶어서 생각하면 돼서
986500	988780	뭐 얘를 쓰든 얘를 쓰든 둘 다 쓰든 상관없어요.
989320	991460	이 막대기를 옮긴다는 느낌으로 움직여 보는 거예요.
991800	994020	뭐 트래킹하다 타겟전을 빠르게 한다는 느낌으로도 움직여 보고요.
994480	996700	손을 아무리 이렇게 크게 빠르게 움직여도
996700	998200	뭐 팔에 힘도 안 들어가고
998200	999160	손목도 편할 거예요.
999760	1000980	근데 이걸 팔로 직접 움직이면
1000980	1004360	뭐 팔이나 어깨 이런 데들이 금방 피곤해질 거예요.
1004840	1007160	왜냐면 이 덩어리를 달고 얘가 움직여줘야 되기 때문에
1007160	1009320	힘이 훨씬 더 많이 들어갈 수밖에 없겠죠.
1009320	1012000	그리고 나아가서는 전체적인 팔 근육이나
1012000	1012320	어깨 승모근육이나
1012960	1014060	소봉까지 힘이 들어갈 수도 있고요.
1014460	1015700	검지 중지를 밀어넣거나
1015700	1017480	손목 관절을 직접 움직이면
1017480	1019040	팔이 끌려가는 형태가 될 거예요.
1019560	1021080	이 상태에선 손목도 불편하고
1021080	1022620	손가락도 마음대로 안 움직이죠.
1022980	1024200	빨리 움직여도 마찬가지고요.
1024560	1026140	근데 손 전체를 써주면
1026140	1028000	막대기를 잡아서 옮긴다는 느낌으로 하면
1028000	1029240	팔이 끌려가는 게 아니라
1029240	1030840	자연스럽게 같이 움직일 거고요.
1031420	1033460	뭐 이 상태에선 손가락도 마음대로 움직이고
1033460	1034600	손목도 여유가 있을 거예요.
1035060	1037280	왼쪽으로도 검지 중지 라인으로 이렇게 밀거나
1037280	1038660	손목을 직접 돌리면
1038660	1039800	좀 불편할 거예요.
1039960	1041100	손목에도 데미지가 갈 거고요.
1041460	1042740	빠르게 세게 할수록 그렇겠죠.
1043300	1045180	그런데 양 사이드를 같이 써주면
1045180	1046360	굉장히 편하죠.
1046780	1048620	뭐 빠르게 움직이든 힘을 줘서 움직이든
1048620	1050240	마찬가지로 굉장히 편할 거예요.
1050580	1051520	반대도 마찬가지고요.
1051960	1053600	근데 이 두 개를 손캠으로 비교해보면
